MATERIAL_NAME,PLANT_NAME,STAGE,INBOUND_DATE,MONTH_YEAR,NET_QUANTITY_MT,risk_overflow_score,flow_score,QUADRANT
RAW_MAT-0001,CHINA-WAREHOUSE,medium,2023/09/08,2023/09,43.2,0.0899,-0.1206,High Risk - Negative Flow
COMPONENT-0002,SINGAPORE-WAREHOUSE,critical,2024/11/23,2024/11,284.6,0.4728,-0.5174,High Risk - Negative Flow
CHEMICAL-0003,CHINA-WAREHOUSE,low,2023/02/02,2023/02,9.73,-0.8031,-0.0363,Low Risk - Negative Flow
RAW_MAT-0004,CHINA-WAREHOUSE,high,2023/08/27,2023/08,236.43,-0.0596,-0.4276,Low Risk - Negative Flow
CHEMICAL-0005,VIETNAM-WAREHOUSE,critical,2024/07/28,2024/07,37.29,-0.4859,0.4612,Low Risk - Positive Flow
COMPONENT-0006,VIETNAM-WAREHOUSE,low,2023/08/14,2023/08,40.78,-0.9604,0.1079,Low Risk - Positive Flow
PACKAGING-0007,VIETNAM-WAREHOUSE,medium,2023/01/07,2023/01,16.11,-0.7905,0.5662,Low Risk - Positive Flow
COMPONENT-0008,MALAYSIA-WAREHOUSE,medium,2023/10/12,2023/10,64.8,0.7501,0.0704,High Risk - Positive Flow
COMPONENT-0009,SINGAPORE-WAREHOUSE,medium,2023/04/15,2023/04,157.14,-0.111,-0.151,Low Risk - Negative Flow
RAW_MAT-0010,MALAYSIA-WAREHOUSE,critical,2024/01/03,2024/01,309.21,0.9346,-0.8219,High Risk - Negative Flow
FINISHED_GOOD-0011,VIETNAM-WAREHOUSE,medium,2023/02/14,2023/02,40.08,-0.087,-0.3096,Low Risk - Negative Flow
PACKAGING-0012,VIETNAM-WAREHOUSE,critical,2024/01/23,2024/01,35.32,0.1162,-0.9199,High Risk - Negative Flow
RAW_MAT-0013,VIETNAM-WAREHOUSE,medium,2024/10/05,2024/10,28.64,-0.285,0.2301,Low Risk - Positive Flow
CHEMICAL-0014,THAILAND-WAREHOUSE,high,2024/12/22,2024/12,124.2,-0.3521,-1.0,Low Risk - Negative Flow
RAW_MAT-0015,CHINA-WAREHOUSE,high,2023/10/24,2023/10,78.03,0.1527,-0.1776,High Risk - Negative Flow
RAW_MAT-0016,SINGAPORE-WAREHOUSE,critical,2024/01/25,2024/01,81.28,0.7896,-0.8837,High Risk - Negative Flow
